timestamp,pair,signal,entry_tag,exit_tag
1672531200000,BTC/USDT,0,,
1672545600000,BTC/USDT,0,,
1672560000000,BTC/USDT,0,,
1672574400000,BTC/USDT,0,,
1672588800000,BTC/USDT,0,,
1672603200000,BTC/USDT,0,,
1672617600000,BTC/USDT,0,,
1672632000000,BTC/USDT,0,,
1672646400000,BTC/USDT,0,,
1672660800000,BTC/USDT,0,,
1672675200000,BTC/USDT,0,,
1672689600000,BTC/USDT,0,,
1672704000000,BTC/USDT,0,,
1672718400000,BTC/USDT,0,,
1672732800000,BTC/USDT,0,,
1672747200000,BTC/USDT,0,,
1672761600000,BTC/USDT,0,,
1672776000000,BTC/USDT,0,,
1672790400000,BTC/USDT,0,,
1672804800000,BTC/USDT,0,,
1672819200000,BTC/USDT,0,,
1672833600000,BTC/USDT,0,,
1672848000000,BTC/USDT,0,,
1672862400000,BTC/USDT,0,,
1672876800000,BTC/USDT,0,,
1672891200000,BTC/USDT,0,,
1672905600000,BTC/USDT,0,,
1672920000000,BTC/USDT,0,,
1672934400000,BTC/USDT,0,,
1672948800000,BTC/USDT,0,,
1672963200000,BTC/USDT,0,,
1672977600000,BTC/USDT,0,,
1672992000000,BTC/USDT,0,,
1673006400000,BTC/USDT,0,,
1673020800000,BTC/USDT,0,,
1673035200000,BTC/USDT,0,,
1673049600000,BTC/USDT,0,,
1673064000000,BTC/USDT,0,,
1673078400000,BTC/USDT,0,,
1673092800000,BTC/USDT,0,,
1673107200000,BTC/USDT,0,,
1673121600000,BTC/USDT,0,,
1673136000000,BTC/USDT,0,,
1673150400000,BTC/USDT,0,,
1673164800000,BTC/USDT,0,,
1673179200000,BTC/USDT,0,,
1673193600000,BTC/USDT,0,,
1673208000000,BTC/USDT,0,,
1673222400000,BTC/USDT,0,,
1673236800000,BTC/USDT,0,,
1673251200000,BTC/USDT,0,,
1673265600000,BTC/USDT,0,,
1673280000000,BTC/USDT,0,,
1673294400000,BTC/USDT,0,,
1673308800000,BTC/USDT,0,,
1673323200000,BTC/USDT,0,,
1673337600000,BTC/USDT,0,,
1673352000000,BTC/USDT,0,,
1673366400000,BTC/USDT,0,,
1673380800000,BTC/USDT,0,,
1673395200000,BTC/USDT,0,,
1673409600000,BTC/USDT,0,,
1673424000000,BTC/USDT,0,,
1673438400000,BTC/USDT,0,,
1673452800000,BTC/USDT,0,,
1673467200000,BTC/USDT,0,,
1673481600000,BTC/USDT,0,,
1673496000000,BTC/USDT,0,,
1673510400000,BTC/USDT,0,,
1673524800000,BTC/USDT,0,,
1673539200000,BTC/USDT,1,swing_long,
1673553600000,BTC/USDT,0,,
1673568000000,BTC/USDT,0,,
1673582400000,BTC/USDT,0,,
1673596800000,BTC/USDT,0,,
1673611200000,BTC/USDT,0,,
1673625600000,BTC/USDT,0,,
1673640000000,BTC/USDT,-1,,tp1_hit
1673654400000,BTC/USDT,0,,
1673668800000,BTC/USDT,0,,
1673683200000,BTC/USDT,0,,
1673697600000,BTC/USDT,0,,
1673712000000,BTC/USDT,0,,
1673726400000,BTC/USDT,0,,
1673740800000,BTC/USDT,0,,
1673755200000,BTC/USDT,0,,
1673769600000,BTC/USDT,0,,
1673784000000,BTC/USDT,0,,
1673798400000,BTC/USDT,0,,
1673812800000,BTC/USDT,0,,
1673827200000,BTC/USDT,0,,
1673841600000,BTC/USDT,0,,
1673856000000,BTC/USDT,0,,
1673870400000,BTC/USDT,0,,
1673884800000,BTC/USDT,0,,
1673899200000,BTC/USDT,0,,
1673913600000,BTC/USDT,1,swing_long,
1673928000000,BTC/USDT,0,,
1673942400000,BTC/USDT,0,,
1673956800000,BTC/USDT,0,,
1673971200000,BTC/USDT,-1,,tp2_hit
1673985600000,BTC/USDT,0,,
1674000000000,BTC/USDT,0,,
1674014400000,BTC/USDT,0,,
1674028800000,BTC/USDT,0,,
1674043200000,BTC/USDT,0,,
1674057600000,BTC/USDT,0,,
1674072000000,BTC/USDT,0,,
1674086400000,BTC/USDT,0,,
1674100800000,BTC/USDT,0,,
1674115200000,BTC/USDT,0,,
1674129600000,BTC/USDT,0,,
1674144000000,BTC/USDT,0,,
1674158400000,BTC/USDT,0,,
1674172800000,BTC/USDT,0,,
1674187200000,BTC/USDT,0,,
1674201600000,BTC/USDT,0,,
1674216000000,BTC/USDT,0,,
1674230400000,BTC/USDT,0,,
1674244800000,BTC/USDT,0,,
1674259200000,BTC/USDT,0,,
1674273600000,BTC/USDT,0,,
1674288000000,BTC/USDT,0,,
1674302400000,BTC/USDT,0,,
1674316800000,BTC/USDT,0,,
1674331200000,BTC/USDT,0,,
1674345600000,BTC/USDT,0,,
1674360000000,BTC/USDT,0,,
1674374400000,BTC/USDT,0,,
1674388800000,BTC/USDT,0,,
1674403200000,BTC/USDT,0,,
1674417600000,BTC/USDT,0,,
1674432000000,BTC/USDT,0,,
1674446400000,BTC/USDT,0,,
1674460800000,BTC/USDT,0,,
1674475200000,BTC/USDT,0,,
1674489600000,BTC/USDT,0,,
1674504000000,BTC/USDT,0,,
1674518400000,BTC/USDT,0,,
1674532800000,BTC/USDT,0,,
1674547200000,BTC/USDT,0,,
1674561600000,BTC/USDT,0,,
1674576000000,BTC/USDT,0,,
1674590400000,BTC/USDT,0,,
1674604800000,BTC/USDT,0,,
1674619200000,BTC/USDT,0,,
1674633600000,BTC/USDT,0,,
1674648000000,BTC/USDT,0,,
1674662400000,BTC/USDT,0,,
1674676800000,BTC/USDT,0,,
1674691200000,BTC/USDT,0,,
1674705600000,BTC/USDT,0,,
1674720000000,BTC/USDT,0,,
1674734400000,BTC/USDT,0,,
1674748800000,BTC/USDT,1,news_impulse,
1674763200000,BTC/USDT,0,,
1674777600000,BTC/USDT,0,,
1674792000000,BTC/USDT,0,,
1674806400000,BTC/USDT,-1,,sl_hit
1674820800000,BTC/USDT,0,,
1674835200000,BTC/USDT,1,liquidity_grab,
1674849600000,BTC/USDT,0,,
1674864000000,BTC/USDT,0,,
1674878400000,BTC/USDT,0,,
1674892800000,BTC/USDT,0,,
1674907200000,BTC/USDT,0,,
1674921600000,BTC/USDT,0,,
1674936000000,BTC/USDT,0,,
1674950400000,BTC/USDT,-1,,timeout_exit
1674964800000,BTC/USDT,0,,
1674979200000,BTC/USDT,0,,
1674993600000,BTC/USDT,0,,
1675008000000,BTC/USDT,0,,
1675022400000,BTC/USDT,0,,
1675036800000,BTC/USDT,0,,
1675051200000,BTC/USDT,0,,
1675065600000,BTC/USDT,0,,
1675080000000,BTC/USDT,0,,
1675094400000,BTC/USDT,0,,
1675108800000,BTC/USDT,0,,
1675123200000,BTC/USDT,0,,
1675137600000,BTC/USDT,0,,
1675152000000,BTC/USDT,0,,
1675166400000,BTC/USDT,0,,
1675180800000,BTC/USDT,0,,
1675195200000,BTC/USDT,0,,
